4u0115        01 18 31.9   63 44 24
oc457         01 36 58.6   47 51 29
3c66a         02 22 39.6   43 02 08
ao0235        02 38 38.9   16 36 59
3c84          03 19 48.2   41 30 42
ic310         03 16 43     41 19 30
rbs0413       03 19 51.8   18 45 34
cta26         03 39 31    -01 46 36
1es0414       04 16 52.5   01 05 24
h187          03 44 39.3   32 07 34
3c111         04 18 21.3   38 01 36
cicam         04 19 45     56 00 00
pks0420       04 23 15.8  -01 20 33
TXS0509       05 09 25.9   05 41 35
RXJ0521       05 21 45.9   21 12 51.5
pks0528       05 30 56.4   13 31 55
a0535         05 38 54.1   26 18 57
v1118ori      05 34 44    -05 33 41
cb34          05 46 57     20 56 50
v1818ori      05 53 42    -10 24 01.5
1es0647       06 50 46.5   25 03 00
rxj0648       06 48 48     15 16 25
b30650        06 50 24     45 14 24
s50716        07 21 53.4   71 20 36
pks0735       07 38 07.3   17 42 19
sdss0804      08 04 34.2   51 03 49
1es0806       08 09 49.2   52 18 58
tyc1932       08 21 01.8   25 57 43
oj248         08 30 52.1   24 11 00
oj49          08 31 48.9   04 29 39
q0836         08 41 24.3   70 53 42
oj287         08 54 48.9   20 06 31
s40917        09 21 36.2   62 15 52
s40954        09 58 47.2   65 33 54.8
s41030        10 33 51     60 51 07
pks1055       10 58 29.6   01 33 59
mkn421        11 04 27     38 12 32
q1127         11 30 07.0  -14 49 27
q1156         11 59 32.1   29 14 42
regulus       10 08 21     11 58 02
ngc3190       10 18 03.7   21 50 06
ngc3227       10 23 31.1   19 51 32
ngc4051       12 03 09     44 32 05
m61           12 21 55     04 28 55
ngc4151       12 10 31.1   39 24 31
ngc4565       12 36 21.1   25 59 13
m100          12 22 54.9   15 49 19
m101          14 03 12.5   54 20 53
ngc4395       12 25 48.9   33 32 48
wcom          12 21 31.7   28 13 58.5
pks1222       12 24 54     21 22 46
m87           12 30 49.4   12 23 28
3c273         12 29 06.7   02 03 09
3c279         12 56 11.2  -05 47 21
b21308        13 10 28.7   32 20 43.8
q1354         13 57 04.4   19 19 08
pks1406       14 08 56.5  -07 52 27
oq530         14 19 46.6   54 23 14.8
b21420        14 22 30.4   32 23 10.4
oq240         14 27 00.4   23 48 00
1es1426       14 28 32.6   42 40 21
pks1510       15 12 50.53 -09 05 58.9
pg1553        15 55 43     11 11 24
q1606         16 08 46     10 29 08
q1611         16 13 41     34 12 48
q1633         16 35 15     38 08 04
3c345         16 42 58.8   39 48 37
mkn501        16 53 52     39 45 36
h1722         17 25 04.4   11 52 15.6
q1739         17 40 37     52 11 43
ot081         17 51 32.8   09 39 01
s51803        18 00 46.0   78 28 04
3c371         18 06 51     69 49 28
ls5039        18 26 15    -14 51 00
q1959         19 59 59.8   65 08 54
agn2001       20 01 12.9   43 52 52
exo2030       20 32 15.3   37 38 14.8
pvcep         20 45 53.9   67 57 39
hbc722        20 58 17     43 53 43.4
v1057         20 58 53.9   44 15 27
j2103         21 03 35.7   45 45 04
pks2131       21 34 10.3  -01 53 17
bllac         22 02 43.3   42 16 40
3c446         22 25 47.3  -04 57 01
cta102        22 32 36.4   11 43 51.3
gmcep         21 38 17.3   57 31 22
3c454         22 53 42     16 10 00
hrc316        22 57 41.1   58 49 12
1es2344       23 47 04.8   51 42 18
3c120         04 33 11.1   05 21 15.6
ngc188        00 47 27.5   85 16 11
